timestamp,people_in,people_out,boat_in,boat_out
2021-07-06 17:43:13,28,191,19,14
2021-07-06 18:16:14,14,159,18,11
2021-07-06 18:36:15,12,184,20,10
2021-07-06 18:56:21,24,114,17,10
2021-07-07 08:22:19,8,5,10,1
2021-07-07 08:42:21,0,0,13,1
2021-07-07 09:02:31,0,10,12,1
2021-07-07 09:22:25,50,7,14,1
2021-07-07 09:42:26,15,5,15,2
2021-07-07 10:02:24,95,15,16,1
2021-07-07 10:22:23,7,11,16,2
2021-07-07 10:42:24,108,9,17,1
2021-07-07 11:02:25,137,12,15,4
2021-07-07 11:22:26,73,10,19,8
2021-07-07 11:42:25,240,14,17,17
2021-07-07 12:02:27,40,11,18,16
2021-07-07 12:22:25,223,13,20,15
2021-07-07 12:42:28,95,29,16,23
2021-07-07 13:02:29,191,16,17,18
2021-07-07 13:42:26,63,28,16,19
2021-07-07 14:02:25,63,28,15,19
2021-07-07 14:22:25,63,28,16,18
2021-07-07 14:42:23,63,28,15,16
2021-07-07 15:02:23,63,28,15,18
2021-07-07 15:35:26,8,38,14,23
2021-07-07 15:55:25,21,76,15,19
2021-07-07 16:15:27,7,123,17,26
2021-07-07 16:35:27,15,52,16,23
2021-07-07 17:15:25,4,62,15,21
2021-07-07 17:35:23,4,62,14,18
2021-07-07 18:22:25,12,180,15,13
2021-07-07 18:51:30,19,195,16,13
2021-07-07 19:11:24,9,121,17,8
2021-07-08 08:22:20,1,1,14,2
2021-07-08 08:42:26,1,1,14,2
2021-07-08 09:49:08,47,2,15,3
2021-07-08 10:09:04,36,11,17,2
2021-07-08 10:29:06,113,21,17,3
2021-07-08 10:49:04,98,4,16,3
2021-07-08 11:09:05,139,16,16,4
2021-07-08 11:29:06,116,19,20,5
2021-07-08 11:49:06,41,25,18,5
2021-07-08 12:09:06,142,24,17,9
2021-07-08 12:29:06,145,21,20,9
2021-07-08 17:36:35,11,128,15,8
2021-07-08 18:26:22,6,163,15,5
2021-07-08 20:19:40,18,20,11,2
2021-07-08 20:49:41,1,0,11,1
2021-07-09 08:32:12,3,2,10,0
2021-07-09 09:32:12,33,10,14,0
2021-07-09 09:45:00,56,6,0,0
2021-07-09 10:21:12,50,6,15,1
2021-07-09 10:51:14,132,9,17,2
2021-07-09 11:21:13,148,24,14,7
2021-07-09 11:51:11,170,19,17,7
2021-07-09 12:21:12,146,29,16,10
2021-07-09 12:51:11,135,25,16,17
2021-07-09 13:21:12,146,19,16,14
2021-07-09 13:51:11,125,39,18,14
2021-07-09 14:21:12,90,19,17,14
2021-07-09 14:51:13,45,23,18,15
2021-07-09 15:21:12,12,17,17,20
2021-07-09 15:51:12,13,84,18,20
2021-07-09 16:21:13,18,170,17,22
2021-07-09 16:51:12,20,74,15,22
2021-07-09 17:21:12,39,126,15,23
2021-07-09 17:51:12,51,161,18,24
2021-07-09 18:21:11,26,241,17,18
2021-07-09 18:51:13,26,170,15,14
2021-07-09 19:21:13,45,157,16,8
2021-07-09 19:51:13,22,103,11,5
2021-07-09 20:21:12,30,31,10,3
2021-07-09 20:51:11,16,5,11,6
2021-07-09 21:00:00,0,2,0,0
2021-07-10 08:47:09,0,0,14,0
2021-07-10 09:17:10,51,6,16,0
2021-07-10 09:47:10,108,14,9,0
